proband,Phenotype_1,Phenotype_2,Phenotype_3
Sample_1,0.74281604373006,1.38726258721697,2.2216157256794
Sample_2,0.603434792518987,1.47157217716004,2.30027423633323
Sample_3,0.559269483350361,0.643377526135574,1.63784718886011
Sample_4,0.532820584957577,1.52469497710604,2.18463104249777
Sample_5,0.740592582121251,1.64093191394565,2.0438234584063
Sample_6,0.601527062954834,1.29099647252869,2.1159301865904
Sample_7,0.326210307655287,0.852249074002598,1.44074805318195
Sample_8,0.643729591091562,1.59938110238488,1.85733317036975
Sample_9,0.40151127661386,1.25742253131074,1.87285071091514
Sample_10,0.51696094656006,1.11316520798099,2.07844924351924
Sample_11,0.903823816871128,1.75984277420771,2.54461590259219
Sample_12,0.52865938968058,1.50309868111393,1.92639590103103
Sample_13,0.565167761808931,1.51654320589493,1.63530293813175
Sample_14,0.53657800425448,0.700723455529639,1.63024237302876
Sample_15,0.575921786135126,1.26992660152439,1.35949605789041
Sample_16,0.856988840584278,0.979316515246094,1.81006865899296
Sample_17,0.70061757480177,1.52136438612773,2.15490801972822
Sample_18,0.687317835346702,1.37377528292792,1.92058987617441
Sample_19,0.828798744485315,0.987945178235033,1.38516701544567
Sample_20,0.715834891977529,1.1443703126215,1.35356003054745
Sample_21,0.691620028069363,1.41124324600514,1.71071695110772
Sample_22,0.764542133195875,0.984428664089436,1.18142705651081
Sample_23,0.965641161680088,0.970354357409968,1.40159261676055
Sample_24,0.793182818537646,1.06745079562274,1.33119613014124
Sample_25,0.59468546997671,1.17815267097907,1.81527560638848
Sample_26,0.706718455766049,1.61302794227338,2.21811158420886
Sample_27,0.82427173476508,1.56119756360921,2.192119073175
Sample_28,0.571935836347306,0.866249260598903,1.00759944005481
Sample_29,0.625674882517749,0.671428218206671,0.785906434954716
Sample_30,0.659612994535952,1.40454729454643,2.125203105657
Sample_31,0.357163773119527,1.12074852788146,1.23801515019955
Sample_32,0.723553069797799,1.21480209997505,1.54486691687977
Sample_33,0.687955834002387,0.798727842967818,1.53884468292427
Sample_34,0.679779196283745,0.916113802494568,1.56644259277857
Sample_35,0.816828047326606,1.35472311037547,2.13156655013845
Sample_36,0.650509602950305,1.40178867047903,1.54207322923995
Sample_37,0.798925544922649,1.13042435550025,1.72734864367558
Sample_38,0.643280712809418,0.741632780112609,1.48880432041912
Sample_39,0.745794285522515,1.0786115449646,1.8294601291182
Sample_40,0.654253368996219,1.36820256055766,1.62527796898429
Sample_41,0.739452771880531,0.902932280733811,1.75310852214426
Sample_42,0.757580710148151,1.54083856073177,1.70574513489722
Sample_43,0.563604672289872,1.1406111336896,1.54294240301066
